Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Channel Islands,United Kingdom,49.3723,-2.3644,560,46,528,0,328.4476741799072,8.214285714285714,0.9428571428571428,0.08214285714285714,"Channel Islands, United Kingdom",0,0,0
Chechen Republic,Russia,43.39761470000001,45.6985005,1264,13,847,404,87.96219295870995,1.0284810126582278,0.6700949367088608,0.010284810126582278,"Chechen Republic, Russia",0,0,0
Chelyabinsk Oblast,Russia,54.4223954,61.1865846,3042,19,1336,1687,87.08756508664669,0.6245890861275477,0.43918474687705455,0.006245890861275477,"Chelyabinsk Oblast, Russia",0,0,0
Cherkasy Oblast,Ukraine,49.4444,32.0598,411,16,316,79,34.06968618586133,3.892944038929441,0.7688564476885644,0.038929440389294405,"Cherkasy Oblast, Ukraine",333,408,9
Chernihiv Oblast,Ukraine,51.4982,31.2893,188,6,63,119,18.692610950091726,3.191489361702128,0.3351063829787234,0.031914893617021274,"Chernihiv Oblast, Ukraine",0,0,0
Chernivtsi Oblast,Ukraine,48.2917,25.9352,3410,144,980,2286,377.05639481011167,4.222873900293255,0.2873900293255132,0.04222873900293255,"Chernivtsi Oblast, Ukraine",0,0,0
Chiapas,Mexico,16.7569,-93.1292,2013,146,1198,669,35.12864010280668,7.252856433184303,0.5951316443119722,0.07252856433184302,"Chiapas, Mexico",0,0,0
Chiba,Japan,35.510141,140.198917,910,45,827,38,14.538176452563526,4.945054945054945,0.9087912087912088,0.04945054945054945,"Chiba, Japan",0,0,0
Chihuahua,Mexico,28.63300000000001,-106.0691,1696,340,1239,117,44.614120737490346,20.047169811320753,0.7305424528301887,0.20047169811320756,"Chihuahua, Mexico",0,0,0
Choco,Colombia,5.2528,-76.82600000000002,227,8,31,188,42.44371066477696,3.524229074889868,0.13656387665198239,0.03524229074889868,"Choco, Colombia",0,0,0
Chongqing,China,30.0572,107.874,579,6,573,0,1.8665377176015476,1.0362694300518134,0.9896373056994818,0.010362694300518135,"Chongqing, China",0,0,0
Chukotka Autonomous Okrug,Russia,66.0006475,169.4900869,81,1,56,24,164.14039069465838,1.2345679012345678,0.691358024691358,0.012345679012345678,"Chukotka Autonomous Okrug, Russia",0,0,0
Chuvashia Republic,Russia,55.4259922,47.0849429,3061,14,1319,1728,248.63599479172169,0.4573668735707285,0.4309049330284221,0.004573668735707285,"Chuvashia Republic, Russia",0,0,0
