Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Death rate,hover_name,New Cases,New Recovered,New Deaths
Gujarat,India,22.2587,71.1924,15934,980,8611,6343,,,0.061503702773942515,"Gujarat, India",0,0,0
Haryana,India,29.0588,76.0856,1721,19,940,762,,,0.011040092969203951,"Haryana, India",0,0,0
Himachal Pradesh,India,31.1048,77.1734,295,5,87,203,,,0.01694915254237288,"Himachal Pradesh, India",0,0,0
Jammu and Kashmir,India,33.7782,76.5762,2164,28,875,1261,,,0.012939001848428836,"Jammu and Kashmir, India",0,0,0
Jharkhand,India,23.6102,85.2799,511,5,216,290,,,0.009784735812133072,"Jharkhand, India",0,0,0
Karnataka,India,15.3173,75.7139,2781,48,894,1839,,,0.017259978425026967,"Karnataka, India",0,0,0
Kerala,India,10.8505,76.2711,1150,8,565,577,,,0.006956521739130435,"Kerala, India",0,0,0
Ladakh,India,34.2996,78.2932,74,0,43,31,,,0.0,"Ladakh, India",0,0,0
Madhya Pradesh,India,22.9734,78.6569,7645,334,4269,3042,,,0.04368868541530412,"Madhya Pradesh, India",0,0,0
Maharashtra,India,19.7515,75.7139,62228,2098,26997,33133,,,0.0337147264896831,"Maharashtra, India",0,0,0
Manipur,India,24.6637,93.9063,59,0,8,51,,,0.0,"Manipur, India",0,0,0
Meghalaya,India,25.467,91.3662,27,1,12,14,,,0.037037037037037035,"Meghalaya, India",0,0,0
Mizoram,India,23.1645,92.9376,1,0,1,0,,,0.0,"Mizoram, India",0,0,0
Nagaland,India,26.1584,94.5624,25,0,0,25,,,0.0,"Nagaland, India",0,0,0
Odisha,India,20.9517,85.0985,1723,7,887,829,,,0.004062681369704005,"Odisha, India",0,0,0
Puducherry,India,11.9416,79.8083,51,0,14,37,,,0.0,"Puducherry, India",0,0,0
Punjab,India,31.1471,75.3412,2197,42,1949,206,,,0.019116977696859355,"Punjab, India",0,0,0
Rajasthan,India,27.0238,74.2179,8365,184,5244,2937,,,0.02199641362821279,"Rajasthan, India",0,0,0
Sikkim,India,27.533,88.5122,1,0,0,1,,,0.0,"Sikkim, India",0,0,0
Tamil Nadu,India,11.1271,78.6569,20246,154,11313,8779,,,0.007606440778425368,"Tamil Nadu, India",0,0,0
Telengana,India,18.1124,79.0193,2425,71,1381,973,,,0.029278350515463916,"Telengana, India",0,0,0
Tripura,India,23.9408,91.9882,251,0,171,80,,,0.0,"Tripura, India",0,0,0
Uttarakhand,India,30.0668,79.0193,716,5,102,609,,,0.006983240223463687,"Uttarakhand, India",0,0,0
Uttar Pradesh,India,26.8467,80.9462,7284,198,4244,2842,,,0.027182866556836903,"Uttar Pradesh, India",0,0,0
West Bengal,India,22.9868,87.855,4813,302,1775,2736,,,0.06274672761271556,"West Bengal, India",0,0,0
Cases being reassigned to states,India,,,5043,0,0,5043,,,0.0,"Cases being reassigned to states, India",0,0,0
Alabama,United States,32.3182,-86.9023,17031,610,9355,7066,,,0.03581703951617638,"Alabama, United States",24266,6455,1193
Alaska,United States,61.3707,-152.4044,429,10,367,52,,,0.023310023310023312,"Alaska, United States",0,0,0
American Samoa,United States,-14.271,-170.132,0,0,0,0,,,,"American Samoa, United States",0,0,0
Arizona,United States,33.7298,-111.4312,18472,886,4551,13035,,,0.047964486790818536,"Arizona, United States",0,0,0
Arkansas,United States,34.9697,-92.3731,6777,132,4583,2062,,,0.019477644975652943,"Arkansas, United States",0,0,0
California,United States,36.1162,-119.6816,106622,4077,0,102545,,,0.038237887115229505,"California, United States",0,0,0
Colorado,United States,39.0598,-105.3111,25598,1436,3838,20324,,,0.05609813266661458,"Colorado, United States",0,0,0
Connecticut,United States,41.5978,-72.7554,41762,3868,7127,30767,,,0.09262008524495953,"Connecticut, United States",0,0,0
Delaware,United States,39.3185,-75.5071,9236,356,5103,3777,,,0.03854482459939368,"Delaware, United States",0,0,0
Diamond Princess,United States,,,49,0,0,49,,,0.0,"Diamond Princess, United States",0,0,0
District of Columbia,United States,38.8974,-77.0268,8538,460,1089,6989,,,0.053876786132583745,"District of Columbia, United States",0,0,0
Florida,United States,27.7663,-81.6868,54497,2413,0,52084,,,0.04427766666055012,"Florida, United States",0,0,0
Georgia,United States,33.0406,-83.6431,45881,1987,0,43894,,,0.043307687277958196,"Georgia, United States",0,0,0
Grand Princess,United States,,,103,3,0,100,,,0.02912621359223301,"Grand Princess, United States",0,0,0
Guam,United States,13.4443,144.7937,172,5,144,23,,,0.029069767441860465,"Guam, United States",0,0,0
Hawaii,United States,21.0943,-157.4983,649,17,604,28,,,0.026194144838212634,"Hawaii, United States",0,0,0
Idaho,United States,44.2405,-114.4788,2770,82,2195,493,,,0.0296028880866426,"Idaho, United States",0,0,0
Illinois,United States,40.3495,-88.9861,117455,5270,0,112185,,,0.044868247413903196,"Illinois, United States",0,0,0
Indiana,United States,39.8494,-86.2583,33558,2110,0,31448,,,0.06287621431551343,"Indiana, United States",0,0,0
Iowa,United States,42.0115,-93.2105,18957,524,10753,7680,,,0.027641504457456348,"Iowa, United States",0,0,0
Kansas,United States,38.5266,-96.7265,9662,215,547,8900,,,0.022252121713930862,"Kansas, United States",0,0,0
Kentucky,United States,37.6681,-84.6701,9464,418,3181,5865,,,0.044167371090448014,"Kentucky, United States",0,0,0
Louisiana,United States,31.1695,-91.8678,38802,2767,28700,7335,,,0.07131075717746507,"Louisiana, United States",0,0,0
Maine,United States,44.6939,-69.3819,2226,85,1458,683,,,0.038185085354896675,"Maine, United States",0,0,0
Maryland,United States,39.0639,-76.8021,50988,2466,3571,44951,,,0.048364321016709816,"Maryland, United States",0,0,0
Massachusetts,United States,42.2302,-71.5301,95512,6718,0,88794,,,0.07033671161738839,"Massachusetts, United States",0,0,0
Michigan,United States,43.3266,-84.5361,56621,5406,33168,18047,,,0.09547694318362444,"Michigan, United States",0,0,0
Minnesota,United States,45.6945,-93.9002,23531,1006,16930,5595,,,0.04275211423228932,"Minnesota, United States",0,0,0
Mississippi,United States,32.7416,-89.6787,14793,710,9401,4682,,,0.04799567362941932,"Mississippi, United States",0,0,0
Missouri,United States,38.4561,-92.2884,13084,730,0,12354,,,0.05579333537144604,"Missouri, United States",0,0,0
Montana,United States,46.9219,-110.4544,493,17,448,28,,,0.034482758620689655,"Montana, United States",0,0,0
Nebraska,United States,41.1254,-98.2681,13648,164,0,13484,,,0.01201641266119578,"Nebraska, United States",0,0,0
Nevada,United States,38.3135,-117.0554,8376,406,428,7542,,,0.048471824259789874,"Nevada, United States",0,0,0
New Hampshire,United States,43.4525,-71.5639,4492,238,2730,1524,,,0.052983081032947466,"New Hampshire, United States",0,0,0
New Jersey,United States,40.2989,-74.521,158844,11531,26084,121229,,,0.07259323613104682,"New Jersey, United States",0,0,0
New Mexico,United States,34.8405,-106.2485,7493,344,2684,4465,,,0.045909515547844656,"New Mexico, United States",0,0,0
New York,United States,42.1657,-74.9481,368284,29646,65289,273349,,,0.08049765941501667,"New York, United States",0,0,0
North Carolina,United States,35.6301,-79.8064,26885,919,14954,11012,,,0.03418262971917426,"North Carolina, United States",0,0,0
North Dakota,United States,47.5289,-99.784,2520,59,1882,579,,,0.023412698412698413,"North Dakota, United States",0,0,0
Northern Mariana Islands,United States,15.0979,145.6739,22,2,13,7,,,0.09090909090909091,"Northern Mariana Islands, United States",0,0,0
Ohio,United States,40.3888,-82.7649,34566,2131,0,32435,,,0.061650176473991784,"Ohio, United States",0,0,0
Oklahoma,United States,35.5653,-96.9289,6338,329,5340,669,,,0.05190911959608709,"Oklahoma, United States",0,0,0
Oregon,United States,44.572,-122.0709,4131,151,1981,1999,,,0.03655289276204309,"Oregon, United States",0,0,0
